rank,PID,networkType,nom
609,1377,Responsiveness,3622
610,1383,CloseFrds,7307
611,1383,CloseFrds,1027
612,1383,CloseFrds,8194
613,1383,CloseFrds,7445
614,1383,CloseFrds,5661
615,1383,CloseFrds,5287
616,1383,NegEmoSupp,7307
617,1383,NegEmoSupp,1027
618,1383,NegEmoSupp,8194
619,1383,NegEmoSupp,7445
620,1383,NegEmoSupp,5661
621,1383,NegEmoSupp,5287
622,1383,Responsiveness,7307
623,1383,Responsiveness,1027
624,1383,Responsiveness,8194
625,1383,Responsiveness,7445
626,1383,Responsiveness,5661
627,1383,Responsiveness,5287
628,1394,CloseFrds,1133
629,1394,CloseFrds,5922
630,1394,CloseFrds,3131
631,1394,CloseFrds,5263
632,1394,CloseFrds,2980
633,1394,CloseFrds,7093
634,1394,NegEmoSupp,3877
635,1394,NegEmoSupp,5922
636,1394,NegEmoSupp,2980
637,1394,Responsiveness,3877
638,1394,Responsiveness,2980
639,1401,CloseFrds,5575
640,1401,CloseFrds,6564
641,1401,CloseFrds,3970
642,1401,CloseFrds,5055
643,1401,CloseFrds,5251
644,1401,CloseFrds,2021
645,1401,NegEmoSupp,5575
646,1401,NegEmoSupp,6564
647,1401,NegEmoSupp,5251
648,1401,NegEmoSupp,2021
649,1401,Responsiveness,5575
650,1401,Responsiveness,6564
651,1401,Responsiveness,3970
652,1401,Responsiveness,5055
653,1401,Responsiveness,5251
654,1401,Responsiveness,2021
655,1406,CloseFrds,6369
656,1406,CloseFrds,3467
657,1406,CloseFrds,1479
658,1406,CloseFrds,3332
659,1406,NegEmoSupp,6369
660,1406,NegEmoSupp,3467
661,1406,Responsiveness,6369
662,1406,Responsiveness,3467
663,1406,Responsiveness,1479
664,1409,CloseFrds,3604
665,1409,CloseFrds,8023
666,1409,CloseFrds,2284
667,1409,CloseFrds,7764
668,1409,CloseFrds,2708
669,1409,CloseFrds,1278
670,1409,NegEmoSupp,3604
671,1409,Responsiveness,6648
672,1409,Responsiveness,3604
673,1409,Responsiveness,8023
674,1409,Responsiveness,7764
675,1409,Responsiveness,2708
676,1410,CloseFrds,2764
677,1410,CloseFrds,7547
678,1410,NegEmoSupp,2764
679,1410,Responsiveness,2764
680,1410,Responsiveness,7547
681,1417,CloseFrds,4333
682,1417,CloseFrds,6955
683,1417,NegEmoSupp,4333
684,1417,NegEmoSupp,6955
685,1417,Responsiveness,4333
686,1417,Responsiveness,6955
687,1421,CloseFrds,5602
688,1421,CloseFrds,3953
689,1421,CloseFrds,4734
690,1421,CloseFrds,4510
691,1421,CloseFrds,2921
692,1421,CloseFrds,5530
693,1421,NegEmoSupp,5602
694,1421,NegEmoSupp,3953
695,1421,NegEmoSupp,2732
696,1421,NegEmoSupp,6198
697,1421,NegEmoSupp,5530
698,1421,NegEmoSupp,2433
699,1421,Responsiveness,5602
700,1421,Responsiveness,3953
701,1421,Responsiveness,4734
702,1421,Responsiveness,6198
703,1421,Responsiveness,5530
704,1421,Responsiveness,2433
705,1428,CloseFrds,8048
706,1428,CloseFrds,3796
707,1428,CloseFrds,3433
708,1428,CloseFrds,3082
709,1428,CloseFrds,6017
710,1428,CloseFrds,4827
711,1428,NegEmoSupp,8048
712,1428,NegEmoSupp,3796
713,1428,NegEmoSupp,4827
714,1428,Responsiveness,8048
715,1428,Responsiveness,3796
716,1428,Responsiveness,3433
717,1428,Responsiveness,6017
718,1428,Responsiveness,4827
719,1435,CloseFrds,2636
720,1435,CloseFrds,4430
721,1435,CloseFrds,1109
722,1435,CloseFrds,7915
723,1435,CloseFrds,5964
724,1435,CloseFrds,2452
725,1435,NegEmoSupp,2636
726,1435,NegEmoSupp,4430
727,1435,Responsiveness,2636
728,1435,Responsiveness,4430
729,1435,Responsiveness,1109
730,1435,Responsiveness,7915
731,1435,Responsiveness,5964
732,1440,CloseFrds,2523
733,1440,CloseFrds,7172
734,1440,Responsiveness,2523
735,1440,Responsiveness,7172
736,1443,CloseFrds,1945
737,1443,CloseFrds,5861
738,1443,CloseFrds,6545
739,1443,CloseFrds,2947
740,1443,CloseFrds,5776
741,1443,CloseFrds,4481
742,1443,NegEmoSupp,1945
743,1443,NegEmoSupp,5861
744,1443,NegEmoSupp,6545
745,1443,NegEmoSupp,2947
746,1443,NegEmoSupp,5776
747,1443,NegEmoSupp,4481
748,1443,Responsiveness,1945
749,1443,Responsiveness,5861
750,1443,Responsiveness,6545
751,1443,Responsiveness,2947
752,1443,Responsiveness,5776
753,1443,Responsiveness,4481
754,1444,CloseFrds,3487
755,1444,CloseFrds,4117
756,1444,CloseFrds,2371
757,1444,CloseFrds,7886
758,1444,CloseFrds,5682
759,1444,CloseFrds,2105
760,1444,NegEmoSupp,3487
761,1444,NegEmoSupp,4117
762,1444,NegEmoSupp,2371
763,1444,NegEmoSupp,7886
764,1444,NegEmoSupp,5682
765,1444,NegEmoSupp,2105
766,1444,Responsiveness,3487
767,1444,Responsiveness,4117
768,1444,Responsiveness,2371
769,1444,Responsiveness,7886
770,1444,Responsiveness,5682
771,1444,Responsiveness,2105
772,1445,CloseFrds,2275
773,1445,CloseFrds,6435
774,1445,CloseFrds,5558
775,1445,CloseFrds,2231
776,1445,CloseFrds,2867
777,1445,NegEmoSupp,2275
778,1445,NegEmoSupp,5558
779,1445,NegEmoSupp,2231
780,1445,NegEmoSupp,2867
781,1445,Responsiveness,2275
782,1445,Responsiveness,6435
783,1445,Responsiveness,6140
784,1445,Responsiveness,5558
785,1445,Responsiveness,2231
786,1445,Responsiveness,2867
787,1453,CloseFrds,4156
788,1453,CloseFrds,5864
789,1453,CloseFrds,4906
790,1453,CloseFrds,4064
791,1453,NegEmoSupp,4156
792,1453,NegEmoSupp,5864
793,1453,Responsiveness,4156
794,1453,Responsiveness,5864
795,1453,Responsiveness,1116
796,1453,Responsiveness,2254
797,1466,CloseFrds,2740
798,1466,NegEmoSupp,2740
799,1466,Responsiveness,2740
800,1467,CloseFrds,3983
801,1467,CloseFrds,6540
802,1467,CloseFrds,1897
803,1467,NegEmoSupp,3983
804,1467,NegEmoSupp,6540
805,1467,Responsiveness,3983
806,1467,Responsiveness,6540
807,1467,Responsiveness,1897
808,1467,Responsiveness,6357
809,1468,CloseFrds,5186
810,1468,CloseFrds,3305
811,1468,CloseFrds,4410
812,1468,CloseFrds,3100
813,1468,CloseFrds,4320
814,1468,CloseFrds,5998
815,1468,NegEmoSupp,5186
816,1468,NegEmoSupp,4492
817,1468,NegEmoSupp,3305
818,1468,NegEmoSupp,3100
819,1468,NegEmoSupp,4320
820,1468,NegEmoSupp,5998
821,1468,Responsiveness,5186
822,1468,Responsiveness,4492
823,1468,Responsiveness,3305
824,1468,Responsiveness,3100
825,1468,Responsiveness,4320
826,1468,Responsiveness,5998
827,1472,CloseFrds,7069
828,1472,CloseFrds,6337
829,1472,CloseFrds,3698
830,1472,CloseFrds,5055
831,1472,CloseFrds,5446
832,1472,CloseFrds,8245
833,1472,NegEmoSupp,7069
834,1472,NegEmoSupp,6337
835,1472,Responsiveness,7069
836,1472,Responsiveness,6337
837,1472,Responsiveness,5055
838,1472,Responsiveness,8245
839,1479,CloseFrds,1406
840,1479,CloseFrds,3467
841,1479,CloseFrds,2501
842,1479,CloseFrds,5715
843,1479,CloseFrds,2690
844,1479,NegEmoSupp,3467
845,1479,NegEmoSupp,2501
846,1479,NegEmoSupp,5715
847,1479,NegEmoSupp,2106
848,1479,NegEmoSupp,7670
849,1479,Responsiveness,3467
850,1479,Responsiveness,2501
851,1479,Responsiveness,2106
852,1479,Responsiveness,2690
853,1479,Responsiveness,7670
854,1479,Responsiveness,8200
855,1486,CloseFrds,5117
856,1486,CloseFrds,6254
857,1486,CloseFrds,4229
858,1486,NegEmoSupp,5117
859,1486,NegEmoSupp,6254
860,1486,NegEmoSupp,4229
861,1486,NegEmoSupp,1087
862,1486,Responsiveness,5662
863,1486,Responsiveness,5117
864,1486,Responsiveness,2017
865,1486,Responsiveness,6254
866,1486,Responsiveness,4229
867,1486,Responsiveness,1087
868,1488,CloseFrds,7305
869,1488,CloseFrds,1564
870,1488,CloseFrds,5395
871,1488,CloseFrds,2729
872,1488,CloseFrds,4520
873,1488,NegEmoSupp,1564
874,1488,NegEmoSupp,2729
875,1488,Responsiveness,5395
876,1488,Responsiveness,2729
877,1490,CloseFrds,2478
878,1490,CloseFrds,4859
879,1490,CloseFrds,3861
880,1490,CloseFrds,6446
881,1490,CloseFrds,4802
882,1490,NegEmoSupp,2478
883,1490,NegEmoSupp,4859
884,1490,NegEmoSupp,4802
885,1490,Responsiveness,4859
886,1490,Responsiveness,3861
887,1490,Responsiveness,6446
888,1490,Responsiveness,3693
889,1503,CloseFrds,5815
890,1503,CloseFrds,4260
891,1503,NegEmoSupp,5815
892,1503,NegEmoSupp,4260
893,1503,Responsiveness,5815
894,1503,Responsiveness,4260
895,1504,CloseFrds,4914
896,1504,CloseFrds,5457
897,1505,CloseFrds,1685
898,1505,CloseFrds,6028
899,1505,CloseFrds,3352
