rank,PID,networkType,nom
1,1001,CloseFrds,1720
2,1001,CloseFrds,5375
3,1001,CloseFrds,7044
4,1001,CloseFrds,3939
5,1001,CloseFrds,7646
6,1001,CloseFrds,4966
7,1001,NegEmoSupp,1720
8,1001,NegEmoSupp,5375
9,1001,NegEmoSupp,7044
10,1001,NegEmoSupp,3939
11,1001,NegEmoSupp,7646
12,1001,NegEmoSupp,4966
13,1001,Responsiveness,1720
14,1001,Responsiveness,5375
15,1001,Responsiveness,7044
16,1001,Responsiveness,3939
17,1001,Responsiveness,7646
18,1001,Responsiveness,4966
19,1004,CloseFrds,5605
20,1004,CloseFrds,7123
21,1004,CloseFrds,2154
22,1004,CloseFrds,8209
23,1004,NegEmoSupp,5605
24,1004,NegEmoSupp,7123
25,1004,NegEmoSupp,2154
26,1004,NegEmoSupp,2725
27,1004,Responsiveness,7123
28,1004,Responsiveness,1792
29,1004,Responsiveness,2725
30,1006,CloseFrds,5249
31,1006,CloseFrds,7635
32,1006,CloseFrds,5092
33,1006,CloseFrds,4012
34,1006,CloseFrds,5535
35,1006,CloseFrds,6893
36,1006,NegEmoSupp,5249
37,1006,NegEmoSupp,7842
38,1006,NegEmoSupp,7635
39,1006,NegEmoSupp,5092
40,1006,NegEmoSupp,4012
41,1006,NegEmoSupp,5535
42,1006,Responsiveness,5249
43,1006,Responsiveness,5092
44,1006,Responsiveness,4012
45,1006,Responsiveness,6893
46,1006,Responsiveness,2026
47,1006,Responsiveness,3809
48,1014,CloseFrds,1720
49,1014,CloseFrds,7838
50,1014,CloseFrds,7600
51,1014,CloseFrds,4963
52,1014,CloseFrds,8205
53,1014,CloseFrds,8109
54,1014,NegEmoSupp,4963
55,1014,NegEmoSupp,8205
56,1014,Responsiveness,4963
57,1014,Responsiveness,8205
58,1014,Responsiveness,8109
59,1017,CloseFrds,7475
60,1017,CloseFrds,3549
61,1017,NegEmoSupp,3549
62,1017,Responsiveness,7475
63,1017,Responsiveness,3549
64,1027,CloseFrds,6679
65,1027,CloseFrds,6542
66,1027,CloseFrds,7345
67,1027,CloseFrds,4240
68,1027,CloseFrds,1383
69,1027,CloseFrds,6150
70,1027,NegEmoSupp,3530
71,1027,NegEmoSupp,6679
72,1027,NegEmoSupp,6542
73,1027,NegEmoSupp,7345
74,1027,NegEmoSupp,4240
75,1027,NegEmoSupp,1383
76,1027,Responsiveness,6679
77,1027,Responsiveness,6542
78,1027,Responsiveness,7345
79,1027,Responsiveness,8194
80,1027,Responsiveness,4240
81,1027,Responsiveness,1383
82,1036,CloseFrds,1648
83,1036,CloseFrds,4492
84,1036,CloseFrds,1025
85,1036,NegEmoSupp,4492
86,1036,NegEmoSupp,1025
87,1036,Responsiveness,1648
88,1036,Responsiveness,4492
89,1036,Responsiveness,1025
90,1038,CloseFrds,6396
91,1038,CloseFrds,5558
92,1038,CloseFrds,5513
93,1038,CloseFrds,8308
94,1038,CloseFrds,4686
95,1038,CloseFrds,8286
96,1038,NegEmoSupp,5558
97,1038,NegEmoSupp,7649
98,1038,NegEmoSupp,5513
99,1038,NegEmoSupp,8308
100,1038,NegEmoSupp,3693
101,1038,NegEmoSupp,3800
102,1038,Responsiveness,1703
103,1038,Responsiveness,5558
104,1038,Responsiveness,7649
105,1038,Responsiveness,7985
106,1038,Responsiveness,8308
107,1038,Responsiveness,8220
108,1061,CloseFrds,2062
109,1061,CloseFrds,2992
110,1061,CloseFrds,7811
111,1061,CloseFrds,7409
112,1061,CloseFrds,5639
113,1061,CloseFrds,5714
114,1061,NegEmoSupp,2062
115,1061,NegEmoSupp,2992
116,1061,NegEmoSupp,2494
117,1061,NegEmoSupp,7409
118,1061,NegEmoSupp,3941
119,1061,NegEmoSupp,4850
120,1061,Responsiveness,2992
121,1061,Responsiveness,5245
122,1061,Responsiveness,7409
123,1061,Responsiveness,5639
124,1061,Responsiveness,3941
125,1061,Responsiveness,6937
126,1064,CloseFrds,6873
127,1064,CloseFrds,2458
128,1064,CloseFrds,2749
129,1064,NegEmoSupp,6873
130,1064,NegEmoSupp,2458
131,1064,NegEmoSupp,2749
132,1064,Responsiveness,6873
133,1064,Responsiveness,2458
134,1064,Responsiveness,2749
135,1065,CloseFrds,2331
136,1065,CloseFrds,5458
137,1065,CloseFrds,7445
138,1065,CloseFrds,6205
139,1065,CloseFrds,3946
140,1065,CloseFrds,1795
141,1065,NegEmoSupp,2331
142,1065,NegEmoSupp,5458
143,1065,NegEmoSupp,7445
144,1065,NegEmoSupp,6205
145,1065,NegEmoSupp,3946
146,1065,Responsiveness,2331
147,1065,Responsiveness,5458
148,1065,Responsiveness,4423
149,1065,Responsiveness,7445
150,1065,Responsiveness,6205
151,1065,Responsiveness,3946
152,1080,CloseFrds,6207
153,1080,CloseFrds,7631
154,1080,CloseFrds,5620
155,1080,CloseFrds,3974
156,1080,CloseFrds,8305
157,1080,CloseFrds,1361
158,1080,NegEmoSupp,6207
159,1080,NegEmoSupp,8305
160,1080,NegEmoSupp,1361
161,1080,NegEmoSupp,1982
162,1080,Responsiveness,6207
163,1080,Responsiveness,8305
164,1080,Responsiveness,1361
165,1080,Responsiveness,1982
166,1080,Responsiveness,5470
167,1084,CloseFrds,6396
168,1084,CloseFrds,5541
169,1084,CloseFrds,4999
170,1084,CloseFrds,7649
171,1084,CloseFrds,5189
172,1084,CloseFrds,1856
173,1084,NegEmoSupp,6396
174,1084,NegEmoSupp,3953
175,1084,NegEmoSupp,6198
176,1084,NegEmoSupp,1890
177,1084,NegEmoSupp,2433
178,1084,NegEmoSupp,5592
179,1084,Responsiveness,6396
180,1084,Responsiveness,8050
181,1084,Responsiveness,5541
182,1084,Responsiveness,7649
183,1084,Responsiveness,5513
184,1084,Responsiveness,8308
185,1086,CloseFrds,3822
186,1086,NegEmoSupp,3822
187,1086,Responsiveness,3822
188,1087,CloseFrds,2969
189,1087,CloseFrds,7322
190,1087,CloseFrds,2428
191,1087,NegEmoSupp,2969
192,1087,NegEmoSupp,7322
193,1087,NegEmoSupp,2428
194,1087,Responsiveness,2428
195,1095,CloseFrds,7602
196,1095,CloseFrds,7784
197,1095,CloseFrds,5972
198,1095,CloseFrds,2918
199,1095,CloseFrds,1231
200,1095,NegEmoSupp,7602
201,1095,NegEmoSupp,7784
202,1095,Responsiveness,7602
203,1095,Responsiveness,5972
204,1095,Responsiveness,1231
205,1097,CloseFrds,7337
206,1097,CloseFrds,7667
207,1097,CloseFrds,3020
208,1097,CloseFrds,2006
209,1097,NegEmoSupp,7667
210,1097,NegEmoSupp,6183
211,1097,Responsiveness,7337
212,1097,Responsiveness,7667
213,1097,Responsiveness,3020
214,1097,Responsiveness,2006
215,1104,CloseFrds,6784
216,1104,CloseFrds,4558
217,1104,CloseFrds,2717
218,1104,CloseFrds,8151
219,1104,CloseFrds,2572
220,1104,CloseFrds,3403
221,1104,NegEmoSupp,6784
222,1104,NegEmoSupp,4558
223,1104,NegEmoSupp,2717
224,1104,NegEmoSupp,3403
225,1104,Responsiveness,6784
226,1104,Responsiveness,4558
227,1104,Responsiveness,2717
228,1104,Responsiveness,8151
229,1104,Responsiveness,3403
230,1104,Responsiveness,4294
231,1105,CloseFrds,7617
232,1105,CloseFrds,2293
233,1105,CloseFrds,3545
234,1105,CloseFrds,6255
235,1105,CloseFrds,3388
236,1105,NegEmoSupp,7617
237,1105,NegEmoSupp,3545
238,1105,NegEmoSupp,6255
239,1105,NegEmoSupp,3388
240,1105,Responsiveness,7617
241,1105,Responsiveness,5102
242,1105,Responsiveness,2903
243,1105,Responsiveness,3388
244,1105,Responsiveness,1987
245,1107,CloseFrds,8047
246,1107,CloseFrds,6200
247,1107,CloseFrds,6104
248,1107,CloseFrds,6295
249,1107,Responsiveness,8047
250,1107,Responsiveness,6200
251,1110,CloseFrds,5089
252,1110,CloseFrds,6229
253,1110,CloseFrds,3341
254,1110,CloseFrds,7847
255,1110,CloseFrds,7389
256,1110,NegEmoSupp,5089
257,1110,NegEmoSupp,6229
258,1110,NegEmoSupp,3341
259,1110,NegEmoSupp,7847
260,1110,Responsiveness,6229
261,1110,Responsiveness,3341
262,1111,CloseFrds,5281
263,1111,CloseFrds,6268
264,1111,CloseFrds,8270
265,1111,CloseFrds,7910
266,1111,NegEmoSupp,5281
267,1111,NegEmoSupp,6268
268,1111,Responsiveness,5281
269,1111,Responsiveness,6268
270,1120,CloseFrds,6685
271,1120,CloseFrds,8310
272,1120,CloseFrds,8008
273,1120,CloseFrds,4142
274,1120,CloseFrds,7111
275,1120,Responsiveness,2101
276,1120,Responsiveness,8008
277,1120,Responsiveness,3572
278,1120,Responsiveness,5757
279,1120,Responsiveness,6835
280,1132,CloseFrds,1150
281,1132,CloseFrds,7285
282,1132,CloseFrds,1833
283,1132,CloseFrds,2806
284,1132,NegEmoSupp,1150
285,1132,NegEmoSupp,7285
286,1132,NegEmoSupp,2889
287,1132,Responsiveness,1150
288,1132,Responsiveness,7285
289,1133,CloseFrds,4576
290,1133,CloseFrds,5922
291,1133,CloseFrds,3131
292,1133,CloseFrds,5263
293,1133,CloseFrds,5001
294,1133,CloseFrds,4259
295,1133,NegEmoSupp,4576
296,1133,NegEmoSupp,5922
297,1133,NegEmoSupp,5263
298,1133,NegEmoSupp,5001
299,1133,NegEmoSupp,1331
300,1133,NegEmoSupp,4259
301,1133,Responsiveness,5922
302,1134,CloseFrds,5795
303,1134,CloseFrds,4423
304,1134,CloseFrds,2741
305,1134,CloseFrds,4083
306,1134,CloseFrds,3738
307,1134,NegEmoSupp,5795
308,1134,NegEmoSupp,4423
309,1134,NegEmoSupp,2741
310,1134,NegEmoSupp,3738
311,1134,Responsiveness,5795
312,1140,CloseFrds,4119
313,1140,CloseFrds,5657
314,1140,CloseFrds,3099
315,1140,CloseFrds,6051
316,1140,Responsiveness,4119
317,1140,Responsiveness,5657
318,1140,Responsiveness,3099
319,1140,Responsiveness,4836
320,1140,Responsiveness,6051
321,1140,Responsiveness,6787
322,1150,CloseFrds,1132
323,1150,CloseFrds,7285
324,1150,CloseFrds,7064
325,1150,CloseFrds,3041
326,1150,CloseFrds,8323
327,1150,CloseFrds,4135
328,1150,NegEmoSupp,1132
329,1150,NegEmoSupp,7064
330,1150,NegEmoSupp,7617
331,1150,NegEmoSupp,1847
332,1150,NegEmoSupp,3041
333,1150,NegEmoSupp,8323
334,1150,Responsiveness,2391
335,1150,Responsiveness,1833
336,1150,Responsiveness,4135
337,1150,Responsiveness,2806
338,1150,Responsiveness,4424
339,1150,Responsiveness,2799
340,1186,Responsiveness,5186
341,1186,Responsiveness,3100
342,1186,Responsiveness,6208
343,1186,Responsiveness,1468
344,1186,Responsiveness,2300
345,1186,Responsiveness,4320
346,1192,CloseFrds,2554
347,1192,CloseFrds,6254
348,1192,Responsiveness,2554
349,1194,CloseFrds,6943
350,1194,CloseFrds,1036
351,1194,CloseFrds,1648
352,1194,CloseFrds,4492
353,1194,CloseFrds,4173
354,1194,NegEmoSupp,6943
355,1194,NegEmoSupp,1648
356,1194,NegEmoSupp,4492
357,1194,NegEmoSupp,4173
358,1194,Responsiveness,6943
359,1194,Responsiveness,4492
360,1194,Responsiveness,4173
361,1194,Responsiveness,7322
362,1194,Responsiveness,1087
363,1202,CloseFrds,5089
364,1202,CloseFrds,6611
365,1202,CloseFrds,6408
366,1202,CloseFrds,5473
367,1202,CloseFrds,7847
368,1202,CloseFrds,3575
369,1202,NegEmoSupp,5089
370,1202,Responsiveness,5089
371,1202,Responsiveness,6611
372,1202,Responsiveness,6408
373,1202,Responsiveness,5473
374,1202,Responsiveness,3575
375,1202,Responsiveness,6323
376,1214,CloseFrds,5795
377,1214,CloseFrds,7580
378,1214,CloseFrds,2764
379,1214,CloseFrds,3003
380,1214,NegEmoSupp,3003
381,1214,Responsiveness,7580
382,1214,Responsiveness,2764
383,1214,Responsiveness,3003
384,1223,CloseFrds,3315
385,1223,CloseFrds,2680
386,1223,CloseFrds,2591
387,1223,CloseFrds,5377
388,1223,CloseFrds,5531
389,1223,CloseFrds,3799
390,1223,NegEmoSupp,3315
391,1223,NegEmoSupp,2680
392,1223,NegEmoSupp,2591
393,1223,NegEmoSupp,3799
394,1223,Responsiveness,6396
395,1223,Responsiveness,3315
396,1223,Responsiveness,2680
397,1223,Responsiveness,2591
398,1223,Responsiveness,5315
399,1223,Responsiveness,3799
400,1224,CloseFrds,1732
401,1224,CloseFrds,6536
402,1224,CloseFrds,6254
403,1224,CloseFrds,4922
404,1224,CloseFrds,6615
405,1224,NegEmoSupp,1732
406,1224,NegEmoSupp,4922
407,1224,NegEmoSupp,4628
408,1224,Responsiveness,1732
409,1224,Responsiveness,4628
410,1229,CloseFrds,1047
411,1229,CloseFrds,2506
412,1229,NegEmoSupp,1047
413,1229,NegEmoSupp,8325
414,1229,NegEmoSupp,2506
415,1229,NegEmoSupp,4802
416,1229,Responsiveness,1047
417,1236,CloseFrds,5212
418,1236,CloseFrds,5642
419,1236,CloseFrds,6375
420,1236,CloseFrds,4083
421,1236,CloseFrds,6669
422,1236,NegEmoSupp,5212
423,1236,NegEmoSupp,6431
424,1236,NegEmoSupp,4782
425,1236,Responsiveness,5212
426,1236,Responsiveness,7347
427,1236,Responsiveness,2815
428,1236,Responsiveness,6431
429,1236,Responsiveness,4782
430,1245,CloseFrds,5469
431,1245,CloseFrds,5448
432,1245,CloseFrds,3981
433,1245,CloseFrds,2011
434,1245,NegEmoSupp,5469
435,1245,Responsiveness,5469
436,1245,Responsiveness,5448
437,1245,Responsiveness,2071
438,1245,Responsiveness,3981
439,1245,Responsiveness,2011
440,1245,Responsiveness,7266
441,1262,CloseFrds,3378
442,1262,CloseFrds,4734
443,1262,CloseFrds,4999
444,1262,CloseFrds,7649
445,1262,CloseFrds,7985
446,1262,CloseFrds,4686
447,1262,NegEmoSupp,3378
448,1262,NegEmoSupp,4734
449,1262,NegEmoSupp,4999
450,1262,NegEmoSupp,7649
451,1262,NegEmoSupp,2071
452,1262,NegEmoSupp,4686
453,1262,Responsiveness,3378
454,1262,Responsiveness,4734
455,1262,Responsiveness,4999
456,1262,Responsiveness,7649
457,1262,Responsiveness,2071
458,1262,Responsiveness,4686
459,1282,CloseFrds,7286
460,1282,CloseFrds,6865
461,1282,CloseFrds,4858
462,1282,CloseFrds,3024
463,1282,NegEmoSupp,7286
464,1282,NegEmoSupp,6865
465,1282,NegEmoSupp,4858
466,1282,Responsiveness,7286
467,1282,Responsiveness,6865
468,1282,Responsiveness,4858
469,1292,CloseFrds,6679
470,1292,CloseFrds,1342
471,1292,CloseFrds,3287
472,1292,CloseFrds,3981
473,1292,CloseFrds,1487
474,1292,NegEmoSupp,6679
475,1292,NegEmoSupp,1342
476,1292,NegEmoSupp,1397
477,1292,Responsiveness,6679
478,1292,Responsiveness,7534
479,1292,Responsiveness,1342
480,1292,Responsiveness,3888
481,1292,Responsiveness,1487
482,1292,Responsiveness,7814
483,1297,CloseFrds,3407
484,1297,NegEmoSupp,3407
485,1297,Responsiveness,3407
486,1297,Responsiveness,5086
487,1305,CloseFrds,4878
488,1305,CloseFrds,7828
489,1305,CloseFrds,1867
490,1305,NegEmoSupp,4878
491,1305,Responsiveness,6657
492,1308,CloseFrds,2533
493,1308,CloseFrds,4507
494,1308,CloseFrds,5375
495,1308,CloseFrds,5854
496,1308,CloseFrds,7646
497,1308,CloseFrds,4090
498,1308,NegEmoSupp,2533
499,1308,NegEmoSupp,4507
500,1308,NegEmoSupp,6728
501,1308,NegEmoSupp,8172
502,1308,NegEmoSupp,5854
503,1308,NegEmoSupp,6916
504,1308,Responsiveness,2533
505,1308,Responsiveness,4507
506,1308,Responsiveness,1939
507,1308,Responsiveness,8172
508,1308,Responsiveness,2000
509,1308,Responsiveness,2898
510,1326,CloseFrds,3092
511,1326,CloseFrds,4680
512,1326,CloseFrds,1591
513,1326,NegEmoSupp,3092
514,1326,NegEmoSupp,4680
515,1326,Responsiveness,3092
516,1326,Responsiveness,4680
517,1326,Responsiveness,1591
518,1333,CloseFrds,3182
519,1333,CloseFrds,5826
520,1333,CloseFrds,4863
521,1333,NegEmoSupp,3182
522,1333,NegEmoSupp,4863
523,1333,Responsiveness,3182
524,1333,Responsiveness,6223
525,1333,Responsiveness,7544
526,1333,Responsiveness,4120
527,1342,CloseFrds,5186
528,1342,CloseFrds,1292
529,1342,CloseFrds,3684
530,1342,CloseFrds,2071
531,1342,NegEmoSupp,1292
532,1342,NegEmoSupp,3684
533,1342,NegEmoSupp,2071
534,1342,NegEmoSupp,7226
535,1342,Responsiveness,1292
536,1342,Responsiveness,3684
537,1342,Responsiveness,2071
538,1346,CloseFrds,7591
539,1346,CloseFrds,5853
540,1346,CloseFrds,7970
541,1346,CloseFrds,5055
542,1346,CloseFrds,1981
543,1346,CloseFrds,1222
544,1346,NegEmoSupp,7591
545,1346,NegEmoSupp,5853
546,1346,NegEmoSupp,8145
547,1346,NegEmoSupp,2638
548,1346,Responsiveness,7591
549,1346,Responsiveness,5853
550,1346,Responsiveness,8145
551,1346,Responsiveness,5055
552,1346,Responsiveness,1981
553,1346,Responsiveness,2638
554,1352,CloseFrds,2194
555,1352,CloseFrds,2543
556,1352,CloseFrds,7320
557,1352,CloseFrds,5320
558,1352,CloseFrds,7122
559,1352,CloseFrds,1079
560,1352,NegEmoSupp,2194
561,1352,NegEmoSupp,1532
562,1352,NegEmoSupp,2543
563,1352,NegEmoSupp,7320
564,1352,NegEmoSupp,5320
565,1352,NegEmoSupp,3734
566,1352,Responsiveness,2194
567,1352,Responsiveness,1532
568,1352,Responsiveness,2543
569,1352,Responsiveness,7320
570,1352,Responsiveness,5320
571,1352,Responsiveness,1079
572,1362,CloseFrds,3877
573,1362,CloseFrds,1074
574,1362,CloseFrds,1771
575,1362,CloseFrds,3181
576,1362,CloseFrds,4272
577,1362,CloseFrds,1837
578,1362,NegEmoSupp,3877
579,1362,NegEmoSupp,1771
580,1362,NegEmoSupp,4272
581,1362,NegEmoSupp,1837
582,1362,Responsiveness,3877
583,1362,Responsiveness,1074
584,1362,Responsiveness,1771
585,1362,Responsiveness,1837
586,1376,CloseFrds,7659
587,1376,CloseFrds,6349
588,1376,CloseFrds,1953
589,1376,CloseFrds,5058
590,1376,CloseFrds,1108
591,1376,CloseFrds,1122
592,1376,NegEmoSupp,7659
593,1376,NegEmoSupp,6349
594,1376,NegEmoSupp,1953
595,1376,NegEmoSupp,5058
596,1376,NegEmoSupp,1122
597,1376,Responsiveness,7659
598,1376,Responsiveness,6349
599,1376,Responsiveness,1953
600,1376,Responsiveness,5058
601,1376,Responsiveness,1108
602,1376,Responsiveness,1122
603,1377,CloseFrds,6927
604,1377,CloseFrds,3769
605,1377,NegEmoSupp,6927
606,1377,NegEmoSupp,3622
607,1377,Responsiveness,3749
608,1377,Responsiveness,6927
